,净值,杠杆倍数,每日PnL,资金占用比例
2017-09-15,1.0,0.0,0.0,0.0
2017-09-18,1.0,0.0,0.0,0.0
2017-09-19,1.0,0.0,0.0,0.0
2017-09-20,1.0,0.0,0.0,0.0
2017-09-21,1.0,0.0,0.0,0.0
2017-09-22,1.0,0.0,0.0,0.0
2017-09-25,1.0,0.0,0.0,0.0
2017-09-26,1.0,0.0,0.0,0.0
2017-09-27,1.0,0.0,0.0,0.0
2017-09-28,1.0,0.0,0.0,0.0
2017-09-29,1.0,0.0,0.0,0.0
2017-10-09,1.0,0.0,0.0,0.0
2017-10-10,1.0,0.0,0.0,0.0
2017-10-11,1.0,0.0,0.0,0.0
2017-10-12,1.0,0.0,0.0,0.0
2017-10-13,1.0,0.0,0.0,0.0
2017-10-16,1.0,0.0,0.0,0.0
2017-10-17,1.0,0.0,0.0,0.0
2017-10-18,1.0,0.0,0.0,0.0
2017-10-19,1.0,0.0,0.0,0.0
2017-10-20,1.00002,0.02614947701045979,20.0,0.0018304633907321856
2017-10-23,1.00001,0.026139738602613975,-10.0,0.0018297817021829784
2017-10-24,1.00009,0.026217640412362887,80.0,0.0018352348288654021
2017-10-25,0.99999,0.026120261202612027,-100.0,0.0018284182841828418
2017-10-26,1.00006,0.026188428694278343,70.0,0.0018331900085994841
2017-10-27,0.99993,0.02606182432770294,-130.0,0.001824327702939206
2017-10-30,0.99994,0.0,10.0,0.0
2017-10-31,0.9998,0.02609521904380876,-140.0,0.0018266653330666135
2017-11-01,0.99979,0.0,-10.0,0.0
2017-11-02,0.99986,0.02641369791770848,70.0,0.0018489588542395937
2017-11-03,0.99999,0.026540265402654025,130.0,0.001857818578185782
2017-11-06,1.00038,0.026919770487214858,390.0,0.0018843839341050402
2017-11-07,1.00058,0.02711427372124168,200.0,0.0018979991604869176
2017-11-08,1.00041,0.02694895093011865,-170.0,0.001886426565108306
2017-11-09,1.00059,0.027123996841863302,180.0,0.0018986797789304311
2017-11-10,1.00047,0.02700730656591402,-120.0,0.0018905114596139815
2017-11-13,1.00091,0.027435034118951755,440.0,0.001920452388326623
2017-11-14,1.00087,0.027396165336157543,-40.0,0.001917731573531028
2017-11-15,1.00044,0.026978129622965894,-430.0,0.0018884690736076129
2017-11-16,1.00047,0.0,30.0,0.0
2017-11-17,1.00047,0.0,0.0,0.0
2017-11-20,1.00047,0.0,0.0,0.0
2017-11-21,1.0005,0.027146426786606698,30.0,0.001900249875062469
2017-11-22,1.00082,0.027457484862412822,320.0,0.0019220239403688977
2017-11-23,1.00079,0.027428331618021762,-30.0,0.0019199832132615236
2017-11-24,1.00085,0.02748663635909477,60.0,0.001924064545136634
2017-11-27,1.00061,0.027253375440981,-240.0,0.0019077362808686703
2017-11-28,1.00042,0.02706863117490654,-190.0,0.0018948041822434579
2017-11-29,1.00039,0.0,-30.0,0.0
