,净值,杠杆倍数,每日PnL,资金占用比例
2013-01-04,1.0,0.0,0.0,0.0
2013-01-07,1.0,0.0,0.0,0.0
2013-01-08,1.0,0.0,0.0,0.0
2013-01-09,1.0,0.0,0.0,0.0
2013-01-10,1.0,0.0,0.0,0.0
2013-01-11,1.0,0.0,0.0,0.0
2013-01-14,1.0,0.0,0.0,0.0
2013-01-15,1.0,0.0,0.0,0.0
2013-01-16,1.0,0.0,0.0,0.0
2013-01-17,1.0,0.0,0.0,0.0
2013-01-18,1.0,0.0,0.0,0.0
2013-01-21,1.0,0.0,0.0,0.0
2013-01-22,1.0,0.0,0.0,0.0
2013-01-23,1.0,0.0,0.0,0.0
2013-01-24,1.0,0.0,0.0,0.0
2013-01-25,1.0,0.0,0.0,0.0
2013-01-28,1.0,0.0,0.0,0.0
2013-01-29,1.0,0.0,0.0,0.0
2013-01-30,1.0,0.0,0.0,0.0
2013-01-31,1.0,0.0,0.0,0.0
2013-02-01,1.0048,1.0360270700636942,4800.0,0.07252189490445861
2013-02-04,1.0179,1.0355634148737598,13100.0,0.07248943904116319
2013-02-05,1.01075,1.0358149888696513,-7150.0,0.0725070492208756
2013-02-06,1.00735,1.0359358713456097,-3400.0,0.07251551099419269
2013-02-07,1.02895,0.9407454200884396,21600.0,0.06585217940619079
2013-02-08,1.0286,0.9331372739646121,-350.0,0.06531960917752286
2013-02-18,1.018595,1.0334823948674399,-10005.0,0.07234376764072081
2013-02-19,1.017345,1.033523534297608,-1250.0,0.07234664740083258
2013-02-20,1.012955,0.9626093952840945,-4390.0,0.06738265766988663
2013-02-21,1.004,0.9812749003984064,-8955.0,0.06868924302788845
2013-02-22,1.00485,1.0132358063392546,850.0,0.07092650644374784
2013-02-25,1.0068,1.009336511720302,1950.0,0.07065355582042115
2013-02-26,1.02185,0.9797426236727504,15050.0,0.06858198365709255
2013-02-27,1.01855,0.9861567915173531,-3300.0,0.06903097540621474
2013-02-28,1.0063,1.0103348901917917,-12250.0,0.07072344231342544
